ModelName,DS-5624A
FileVersion,6
Acquisition Time,2022/07/19 18:51:07
Time/div(second),2E-03
Delay(second),-6.04E-03
Delta(second),40E-06
Acquisition Mode,Average,1024
Trigger Address,99
CH1 Display,On
CH2 Display,Off
CH3 Display,Off
CH4 Display,On
CH1 Volt/div,2.00E-03
CH2 Volt/div,200E-03
CH3 Volt/div,100E-03
CH4 Volt/div,1.00E+00
CH1 Offset,5.88E-03
CH2 Offset,100E-03
CH3 Offset,-50.0E-03
CH4 Offset,-1.52E+00
CH1 Coupling,DC50
CH2 Coupling,DC1M
CH3 Coupling,DC1M
CH4 Coupling,DC50
CH1 Bandwidth,Full
CH2 Bandwidth,Full
CH3 Bandwidth,Full
CH4 Bandwidth,Full
Points,501
Ch1 V,Ch2 V,Ch3 V,Ch4 V
-6.969E-05,,,2.073E-02
-7.165E-05,,,2.061E-02
-6.920E-05,,,2.000E-02
-7.726E-05,,,2.097E-02
-7.702E-05,,,2.085E-02
-7.189E-05,,,2.048E-02
-6.823E-05,,,2.024E-02
-7.165E-05,,,2.036E-02
-7.458E-05,,,2.012E-02
-8.336E-05,,,1.951E-02
-7.458E-05,,,2.024E-02
-7.433E-05,,,1.963E-02
-6.969E-05,,,2.061E-02
-6.725E-05,,,1.975E-02
-7.018E-05,,,2.073E-02
-6.701E-05,,,2.012E-02
-6.872E-05,,,2.061E-02
-6.945E-05,,,2.146E-02
-6.994E-05,,,2.061E-02
-7.165E-05,,,1.963E-02
-6.994E-05,,,2.073E-02
-7.165E-05,,,2.024E-02
-7.262E-05,,,2.012E-02
-6.847E-05,,,1.951E-02
-7.750E-05,,,2.134E-02
-7.506E-05,,,2.024E-02
-7.750E-05,,,2.061E-02
-6.774E-05,,,2.024E-02
-7.238E-05,,,1.987E-02
-7.458E-05,,,2.061E-02
-8.849E-05,,,2.061E-02
-7.677E-05,,,2.024E-02
-7.262E-05,,,1.975E-02
-7.628E-05,,,1.975E-02
-9.215E-05,,,1.926E-02
-7.335E-05,,,1.975E-02
-7.311E-05,,,2.000E-02
-7.189E-05,,,1.963E-02
-6.994E-05,,,1.963E-02
-6.945E-05,,,2.024E-02
-8.263E-05,,,2.012E-02
-7.897E-05,,,2.024E-02
-7.189E-05,,,2.073E-02
-6.969E-05,,,2.085E-02
-6.920E-05,,,2.000E-02
-7.604E-05,,,2.048E-02
-7.189E-05,,,2.048E-02
-7.018E-05,,,2.024E-02
-7.702E-05,,,1.987E-02
-6.725E-05,,,1.951E-02
-7.238E-05,,,1.926E-02
-6.920E-05,,,1.987E-02
-7.042E-05,,,2.000E-02
-7.335E-05,,,2.024E-02
-6.945E-05,,,2.048E-02
-7.018E-05,,,2.000E-02
-7.482E-05,,,1.975E-02
-7.482E-05,,,2.036E-02
-6.774E-05,,,2.024E-02
-6.896E-05,,,2.012E-02
-6.969E-05,,,2.012E-02
-6.798E-05,,,2.073E-02
-8.605E-05,,,2.073E-02
-6.847E-05,,,2.073E-02
-7.018E-05,,,2.048E-02
-6.725E-05,,,2.000E-02
-7.897E-05,,,2.012E-02
-7.409E-05,,,2.061E-02
-8.385E-05,,,2.024E-02
-7.189E-05,,,2.012E-02
-7.213E-05,,,1.975E-02
-7.067E-05,,,2.000E-02
-7.702E-05,,,1.951E-02
-6.969E-05,,,2.109E-02
-6.969E-05,,,1.987E-02
-6.481E-05,,,2.061E-02
-6.750E-05,,,2.085E-02
-6.627E-05,,,2.097E-02
-7.799E-05,,,2.097E-02
-6.432E-05,,,2.097E-02
-6.920E-05,,,2.073E-02
-6.554E-05,,,2.073E-02
-6.847E-05,,,2.073E-02
-8.312E-05,,,2.085E-02
-7.018E-05,,,2.061E-02
-8.239E-05,,,2.036E-02
-6.994E-05,,,2.048E-02
-7.677E-05,,,2.097E-02
-7.262E-05,,,2.061E-02
-6.920E-05,,,2.000E-02
-7.213E-05,,,2.073E-02
-8.043E-05,,,2.085E-02
-7.262E-05,,,2.048E-02
-8.019E-05,,,2.061E-02
-6.603E-05,,,2.061E-02
-6.530E-05,,,1.853E-02
-7.213E-05,,,1.707E-02
-8.458E-05,,,1.902E-02
-1.336E-04,,,1.125E+00
-6.725E-05,,,2.451E-02
